id	Name	Name on Shirt
72	Abe	ABE
162	Ishikawa	ISHIKAWA
220	Maeda	MAEDA
250	Endo	ENDO
277	Okubo	OKUBO
329	Komano	KOMANO
450	Emerson	EMERSON
557	Park Ji Sung	PARK
673	Hayashi	HAYASHI
721	Dunne	DUNNE
723	Harte	HARTE
729	Robbie Keane	R. KEANE
736	D. Duff	DUFF
737	Delap	DELAP
742	R. Carroll	CARROLL
745	A. Hughes	HUGHES
793	Giggs	GIGGS
801	Simon Davies	DAVIES
804	Bellamy	BELLAMY
811	Barry	BARRY
816	Scholes	SCHOLES
820	Ferdinand	FERDINAND
821	P. Neville	P. NEVILLE
822	Gerrard	GERRARD
823	K. Dyer	DYER
826	Joe Cole	J. COLE
830	Quim	QUIM
847	Simão	SIMAO
852	Casillas	IKER CASILLAS
856	Manuel Pablo	M. PABLO
865	Puyol	PUYOL
866	Xavi	XAVI
925	C. Seedorf	SEEDORF
935	Bouma	BOUMA
970	Totti	TOTTI
977	Ambrosini	AMBROSINI
983	Buffon	BUFFON
998	Jarošík	JAROSIK
1001	Rosický	ROSICKY
1036	Rommedahl	ROMMEDAHL
1049	T. Sørensen	SORENSEN
1066	Riise	RIISE
1070	Carew	CAREW
1075	Mellberg	MELLBERG
1086	A. Svensson	SVENSSON
1104	Forssell	FORSSELL
1115	Jääskeläinen	JAASKELAINEN
1182	Király	KIRALY
1203	Babos	BABOS
1225	Pletikosa	PLETIKOSA
1255	Dejan Stanković	D. STANKOVIC
1275	Chivu	CHIVU
1287	Mutu	MUTU
1290	Lobonţ	LOBONT
1296	Hitzlsperger	HITZLSPERGER
1308	M. Petrov	PETROV
1310	Berbatov	BERBATOV
1322	Liberopoulos	LIBEROPOULOS
1328	Karagounis	KARAGOUNIS
1352	Emre B.	EMRE
1357	Shovkovskyi	SHOVKOVSKYI
1398	Semak	SEMAK
1409	Ramzi	RAMZI
1453	A. Hassan	A. HASSAN
1466	El Hadry	EL HADRY
1498	Eto'o	ETOO
1601	Yépes	YEPES
1621	Dida	DIDA
1631	Ronaldinho	RONALDINHO
1633	Lúcio	LUCIO
1638	Zé Roberto	ZE ROBERTO
1639	Alex de Souza	ALEX
1642	Rogerio Ceni	R. CENI
1653	Pizarro	PIZARRO
1668	P. Contreras	CONTRERAS
1669	Maldonado	MALDONADO
1697	Santa Cruz	SANTA CRUZ
1714	P. García	GARCIA
1732	Samuel	SAMUEL
1737	Javier Zanetti	J. ZANETTI
1747	P. Aimar	AIMAR
1845	Harry Kewell	KEWELL
1854	Emerton	EMERTON
1884	W. Brown	BROWN
1893	Upson	UPSON
1894	Ashley Cole	A. COLE
1911	Cudicini	CUDICINI
1913	Carragher	CARRAGHER
1938	Carrick	CARRICK
1948	Lampard	LAMPARD
1951	Given	GIVEN
1967	S. Harper	HARPER
1994	Albelda	ALBELDA
1997	A. Palop	A. PALOP
2008	Capdevila	CAPDEVILA
2010	Scaloni	SCALONI
2013	Valeron	VALERON
2014	E. Pérez	ENZO PÉREZ
2032	Z. Camara	CAMARA
2033	Gallas	GALLAS
2050	Grégorini	GREGORINI
2052	Distin	DISTIN
2054	B. Mendy	MENDY
2083	Bugner	BUGNER
2086	Pasanen	PASANEN
2089	Van Der Vaart	VAN DER VAART
2095	Van Der Gun	VAN DER GUN
2120	Van Bommel	V. BOMMEL
2130	Frey	FREY
2133	Farinos	FARINOS
2138	Pirlo	PIRLO
2150	Abbiati	ABBIATI
2187	Marco Rossi	ROSSI
2203	Zébina	ZEBINA
2206	Marcos Assunção	ASSUNCAO
2209	Lupatelli	LUPATELLI
2219	C. Metzelder	METZELDER
2250	Helton	HELTON
2256	Felipe Jorge	FELIPE
2257	Juninho P.	JUNINHO
2296	Saviola	SAVIOLA
2315	N. Burdisso	BURDISSO
2345	Cassano	CASSANO
2489	Kawashima	KAWASHIMA
2506	Reina	REINA
2515	G. D'Agostino	DAGOSTINO
2520	A. D'Alessandro	DALESSANDRO
2530	Van Buyten	VAN BUYTEN
2531	Arteta	ARTETA
2536	M. Donati	DONATI
2542	Moretti	MORETTI
2551	Maresca	MARESCA
2560	Terry	TERRY
2576	Yobo	YOBO
2579	Heinze	HEINZE
2582	Hugo Leal	HUGO LEAL
2583	Eduardo Costa	COSTA
2585	Maxwell	MAXWELL
2586	Ibrahimović	IBRAHIMOVIC
2593	Elmander	ELMANDER
2594	Wielaert	WIELAERT
2612	A. Agostini	AGOSTINI
2618	Demel	DEMEL
2622	Pogatetz	POGATETZ
2641	McCartney	MCCARTNEY
2660	Simons	SIMONS
2667	Grygera	GRYGERA
2674	Klose	KLOSE
2696	Marius Niculae	NICULAE
2698	Golbourne	GOLBOURNE
2699	Tymoshchuk	TYMOSHCHUK
2714	Friedel	FRIEDEL
2751	Graafland	GRAAFLAND
2753	C. Rodríguez	C. RODRIGUEZ
2761	Daf	DAF
2900	Miller	K. MILLER
2951	S. Camara	S. CAMARA
2991	Ujfaluši	UJFALUSI
3050	Landzaat	LANDZAAT
3054	Baroš	BAROS
3113	Marat Izmailov	IZMAILOV
3159	Munúa	MUNUA
3176	Schwarzer	SCHWARZER
3191	Čech	CECH
3200	Kameni	KAMENI
3214	Abidal	ABIDAL
3222	Stekelenburg	STEKELENBURG
3234	Starke	STARKE
3268	Cris	CRIS
3272	Willy	WILLY
3275	Konno	KONNO
3305	Hasebe	HASEBE
3320	Kondo	KONDO
3348	Kurihara	KURIHARA
3497	Forlán	FORLAN
3498	O'Shea	OSHEA
3503	Sjölund	SJOLUND
3507	F. Richardson	RICHARDSON
3520	McCann	MCCANN
3522	Defoe	DEFOE
3528	Gary Caldwell	G. CALDWELL
3536	Shola Ameobi	AMEOBI
3544	Borja Fernández	BORJA FF
3545	Rubén González	RUBEN
3546	R. Bravo	R. BRAVO
3547	Valdo	VALDO
3548	F. Aurélio	F. AURELIO
3560	Rothen	ROTHEN
3561	Squillaci	SQUILLACI
3574	Meriem	MERIEM
3577	Heitinga	HEITINGA
3579	Pienaar	PIENAAR
3581	Loovens	LOOVENS
3582	Van Persie	V. PERSIE
3586	Brocchi	BROCCHI
3596	Palombo	PALOMBO
3598	Taddei	TADDEI
3603	De Rossi	DE ROSSI
3604	Aquilani	AQUILANI
3605	Bovo	BOVO
3606	Simone Pepe	PEPE
3613	Alou Diarra	DIARRA
3650	Pogrebnyak	POGREBNYAK
3655	Leonardo Moura	LEONARDO MOURA
3673	Lux	LUX
3681	Cambiasso	CAMBIASSO
3682	Demichelis	DEMICHELIS
3690	Maxi Lopez	MAXI
3712	Tévez	TEVEZ
3714	Hugo Viana	HUGO VIANA
3728	S. Reid	REID
3741	Joaquín	JOAQUIN
3757	Gilberto Silva	GILBERTO
3758	Kaká	KAKA
3761	C. Poulsen	POULSEN
3764	Isaksson	ISAKSSON
3773	Feeney	FEENEY
3774	Hübschman	HUBSCHMAN
3775	Juanfran	JUANFRAN
3793	De Lucas	DE LUCAS
3806	Djibril Cissé	CISSE
3814	Głowacki	GLOWACKI
3823	Šimunić	SIMUNIC
3829	Kerzhakov	KERZHAKOV
3847	J. Utaka	UTAKA
3848	Enyeama	ENYEAMA
3874	Kléberson	KLEBERSON
3882	Abreu	ABREU
3887	Carlos Tenorio	C. TENORIO
3931	Scharner	SCHARNER
3952	Paolo Cannavaro	P. CANNAVARO
3957	Bramble	BRAMBLE
3966	Tate	TATE
3970	Juan	JUAN
3978	Edu D.	EDU D.
3996	Ten Rouwelaar	TEN ROUWELAAR
3997	Robben	ROBBEN
4007	Aliadiere	ALIADIERE
4010	C. Cole	C. COLE
4012	Crouch	CROUCH
4013	Evra	EVRA
4016	Plašil	PLASIL
4018	Grax	GRAX
4019	Carrasso	CARRASSO
4037	Lurling	LURLING
4039	Fabio Deivson	FABIO
4059	Brighi	BRIGHI
4063	Bonera	BONERA
4064	Matuzalem	MATUZALEM
4070	F. Navarro	F.NAVARRO
4071	Thiago Motta	MOTTA
4072	V. Valdés	V. VALDES
4073	Iniesta	A. INIESTA
4105	Nash	NASH
4113	Joey Barton	BARTON
4115	Wright-Phillips	WRIGHT PHILLIPS
4120	Neill	NEILL
4152	Rooney	ROONEY
4155	Hibbert	HIBBERT
4158	Osman	OSMAN
4170	Blondel	BLONDEL
4193	Coloccini	COLOCCINI
4203	J. M. Movilla	MOVILLA
4208	Torres	TORRES
4215	Raúl Goni	RAUL GONI
4220	Montañés	PACO MONTANES
4230	Pedro Santos	PEDRO SANTOS
4235	Pinto	PINTO
4251	Xabi Alonso	ALONSO
4252	Gabilondo	GABILONDO
4253	Barkero	BARKERO
4259	Boumsong	BOUMSONG
4261	Mexés	MEXES
4278	Sirieix	SIRIEIX
4281	Mignot	MIGNOT
4286	M. Diarra	M. DIARRA
4289	Govou	GOVOU
4291	Luyindula	LUYINDULA
4294	Balmont	BALMONT
4295	Vercoutre	VERCOUTRE
4312	Fanni	FANNI
4320	F. Coppola	COPPOLA
4325	Ribair Rodriguez	RODRIGUEZ
4326	Zaccardo	ZACCARDO
4339	D. Dainelli	DAINELLI
4346	Guana	GUANA
4355	Mensah	MENSAH
4360	Legrottaglie	LEGROTTAGLIE
